family,dataset,method,source_method,metric,value
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,Batch correction,0.5484810301653094
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,RareACC,0.8123844731977818
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,UltraRareACC,0.7966101694915254
Méthodes généralistes,Baron human pancreas,scMAE,scMAE,ACC,0.7307737192204458
Méthodes généralistes,Baron human pancreas,scMAE,scMAE,ARI,0.7698534035042929
Méthodes généralistes,Baron human pancreas,scMAE,scMAE,Batch correction,0.4983273460197106
Méthodes généralistes,Baron human pancreas,scMAE,scMAE,RareACC,0.6155268022181146
Méthodes généralistes,Baron human pancreas,scMAE,scMAE,UltraRareACC,0.6949152542372882
Méthodes généralistes,Baron human pancreas,scNAME,scNAME,ACC,0.7387093009686078
Méthodes généralistes,Baron human pancreas,scNAME,scNAME,ARI,0.708049479745054
Méthodes généralistes,Baron human pancreas,scNAME,scNAME,Batch correction,0.493452522405769
Méthodes généralistes,Baron human pancreas,scNAME,scNAME,RareACC,0.8927911275415896
Méthodes généralistes,Baron human pancreas,scNAME,scNAME,UltraRareACC,0.4322033898305085
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),ACC,0.9337145524565292
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),ARI,0.9158965181979905
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),Batch correction,0.5749552605057935
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),RareACC,0.8955637707948244
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),UltraRareACC,0.8135593220338984
Méthodes généralistes,Baron human pancreas,scVI,scvi,ACC,0.7116349632395845
Méthodes généralistes,Baron human pancreas,scVI,scvi,ARI,0.6211343823250206
Méthodes généralistes,Baron human pancreas,scVI,scvi,Batch correction,0.6295033373683816
Méthodes généralistes,Baron human pancreas,scVI,scvi,RareACC,0.9177449168207024
Méthodes généralistes,Baron human pancreas,scVI,scvi,UltraRareACC,0.4661016949152542
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,ACC,0.7437596302003082
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,ARI,0.6263413988607033
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,Batch correction,0.6622977291899567
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,RareACC,0.9209157127991676
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,UltraRareACC,0.0
Méthodes généralistes,Human testis GSE112013,scMAE,scMAE,ACC,0.7203389830508474
Méthodes généralistes,Human testis GSE112013,scMAE,scMAE,ARI,0.651134476247592
Méthodes généralistes,Human testis GSE112013,scMAE,scMAE,Batch correction,0.6988296443165273
Méthodes généralistes,Human testis GSE112013,scMAE,scMAE,RareACC,0.8470343392299687
Méthodes généralistes,Human testis GSE112013,scMAE,scMAE,UltraRareACC,0.0
Méthodes généralistes,Human testis GSE112013,scNAME,scNAME,ACC,0.7086286594761171
Méthodes généralistes,Human testis GSE112013,scNAME,scNAME,ARI,0.6310878412219612
Méthodes généralistes,Human testis GSE112013,scNAME,scNAME,Batch correction,0.6788287964074947
Méthodes généralistes,Human testis GSE112013,scNAME,scNAME,RareACC,0.8345473465140478
Méthodes généralistes,Human testis GSE112013,scNAME,scNAME,UltraRareACC,0.0
Méthodes généralistes,Human testis GSE112013,scRAW,scRAW (trial_0017),ACC,0.7178736517719568
Méthodes généralistes,Human testis GSE112013,scRAW,scRAW (trial_0017),ARI,0.6107002323051303
