phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
smoke,paul15_bone_marrow,DESC,density_only,42,RareACC,0.130718954248366,0.130718954248366,0.0
smoke,paul15_bone_marrow,DESC,density_only,42,Silhouette,0.1255462765693664,0.143450453877449,-0.01790417730808261
smoke,paul15_bone_marrow,DESC,density_only,42,runtime,47.34452438354492,58.974791526794434,-11.630267143249512
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,NMI,0.5603046627999444,0.6307063911488362,-0.0704017283488918
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,ARI,0.2930514503233749,0.404513623294461,-0.11146217297108613
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,ACC,0.4326007326007326,0.4915750915750915,-0.058974358974358876
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,F1_Macro,0.4431819088081252,0.4159577230446047,0.02722418576352048
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,BalancedACC,0.4465060382696439,0.4930925376121112,-0.04658649934246728
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,RareACC,0.3376906318082788,0.355119825708061,-0.017429193899782203
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,Silhouette,0.5311167240142822,0.0852846354246139,0.44583208858966833
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,runtime,87.07730507850647,11.843692779541016,75.23361229896545
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,NMI,0.4996538728744414,0.5287425335672497,-0.029088660692808244
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,ARI,0.2832438106299816,0.2811568461961214,0.0020869644338601945
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,ACC,0.3721611721611721,0.4168498168498168,-0.044688644688644696
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,F1_Macro,0.2152061416484953,0.3691721336151861,-0.15396599196669078
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,BalancedACC,0.275551893640361,0.3996199980006636,-0.12406810436030263
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,RareACC,0.0610021786492374,0.2875816993464052,-0.2265795206971678
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,Silhouette,0.2588317751902216,0.2761974042488919,-0.017365629058670284
smoke,paul15_bone_marrow,scDeepCluster,density_only_triplet_kmeans,42,runtime,407.45955777168274,155.61972784996033,251.8398299217224
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,NMI,0.5420979977804439,0.5343086180283043,0.007789379752139558
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,ARI,0.3155655721596311,0.2891666483257258,0.026398923833905297
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,ACC,0.3923076923076923,0.3626373626373626,0.029670329670329676
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,F1_Macro,0.2359135306728894,0.2051227935153836,0.0307907371575058
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,BalancedACC,0.3166820938779281,0.2932857238921653,0.023396369985762833
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,RareACC,0.130718954248366,0.130718954248366,0.0
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,Silhouette,0.1073561906814575,0.143450453877449,-0.0360942631959915
